program,x,task,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
vector,1000000,push,5037812,5347817,5018007,7254219,5078946,6317692,5094771,6549615,5029372,5746433
vector,1000000,set,466783,460263,470666,586465,487783,508258,416134,432799,445589,449956
vector,1000000,access,438065,397861,437614,512491,442484,466677,375027,390938,414626,414322
array,1000000,set1,2083560,2086043,2151920,2158074,2308807,1991574,1971369,2256267,1971637,1986836
array,1000000,access1,513712,485093,535179,516098,551115,504831,477067,550026,477270,498483
array,1000000,set2,512456,504638,535272,527613,619527,494299,487211,558538,486071,493261
array,1000000,access2,499988,485633,518725,516386,533367,521619,475911,550197,492799,484066
vector,3000000,push,18430788,17757675,17715461,17767059,17746634,19077671,19809914,19603362,18902131,19182613
vector,3000000,set,1535251,1531705,1533860,1530083,1510102,1512690,1474130,1548163,1510252,1532717
vector,3000000,access,1271036,1274359,1272505,1281875,1284292,1344455,1295420,1293915,1297854,1290141
array,3000000,set1,6503449,5159629,5989745,5033823,4870255,4894900,6043521,6323277,4892047,4875150
array,3000000,access1,1595704,1194673,1399781,1178691,1287853,1281971,1420552,1592331,1278587,1232192
array,3000000,set2,1832646,1455007,1484026,1446881,1813649,1431131,1502974,1850170,1427678,1396536
array,3000000,access2,1797171,1203998,1329160,1184995,1677944,1453402,1304050,1596229,1558276,1241421
vector,10000000,push,67559977,65486116,65522144,66924705,66764189,65544240,66691720,66473788,66772347,65349591
vector,10000000,set,5062639,5055850,5068093,5071173,5055858,5068733,5046687,5039751,5052023,5037785
vector,10000000,access,3997726,3984031,3538620,3999104,4000909,3997286,4003973,3994220,4025437,3996033
array,10000000,set1,20495844,16427875,15868110,16113455,17771219,17141400,17232975,17403359,17361519,17700661
array,10000000,access1,4013416,4018821,4023450,4021452,3994938,4038551,4010985,4043610,4018127,4042025
array,10000000,set2,4917541,4934229,4895263,4944075,4894032,4971037,4887153,4939860,4886576,4940401
array,10000000,access2,4017810,4037576,4019133,4038218,4031287,4018210,4018529,4022656,4030265,4047486
vector,30000000,push,163283623,164764147,164355237,165324980,164277930,165362345,164797107,166170085,164410342,165002435
vector,30000000,set,15319044,15393880,15287663,15277924,15294661,15317225,15398770,15263035,15251334,15296415
vector,30000000,access,11741448,11723960,11712669,11780378,11737925,11760500,11724929,11730800,11738424,11743248
array,30000000,set1,50700143,49295573,48201095,48402719,47378838,48529499,46866949,49618762,49053842,48030486
array,30000000,access1,11769528,11793137,11746954,11757446,11775986,11813851,11757775,11743470,11742964,11800343
array,30000000,set2,15134124,15197836,15071538,15084506,15040408,15135350,15064256,15130715,15039864,15121825
array,30000000,access2,11725140,11802827,11772065,11791979,11740073,11729581,11734312,11820010,11779403,11769445
vector,100000000,push,582843313,582247788,581208566,580206240,599263555,581982080,582166992,580663379,582942074,582434919
vector,100000000,set,51166607,51121850,51120646,51113762,51055862,51184679,51068630,51148942,51088094,51167022
vector,100000000,access,38867711,39122294,38976496,39007481,38910739,38969640,38824996,39003415,38866598,38990687
array,100000000,set1,155365002,155507349,155254116,155277227,153911373,153565983,155479259,153628181,153710051,153673793
array,100000000,access1,38631039,38604387,38589285,38601858,38701735,38692142,38748674,38743990,38706761,38747728
array,100000000,set2,51264192,51359001,51249360,51286344,51307226,51347099,51318128,51400163,51350789,51346400
array,100000000,access2,38777788,38649972,38725209,38627608,38732266,37590949,38731812,38670562,38706328,38914019
vector_insert,10000,insert,3820646,5211059,5037215,4735492,4029056,3798318,4931164,3719693,3759614,3748333
vector_insert,10000,erase,3709069,5299461,4663260,5881723,3904652,3685230,3975045,3659327,3701797,3686329
vector_insert,30000,insert,57221643,56606412,56485731,58170111,58452321,57909965,57180436,56505772,58029313,58927614
vector_insert,30000,erase,57020445,57006547,56973886,57003382,57015421,57068237,56938620,57046688,56984065,57089936
vector_insert,50000,insert,169974933,162147976,163389192,161783258,165564172,163429849,164193878,163768296,165545008,165167848
vector_insert,50000,erase,169301235,161954371,161789639,161616120,163408666,161585085,163177133,162270714,161462510,164870623
vector_insert,100000,insert,730199256,734129183,736140718,739684724,738647754,731300471,738444639,730248260,729667260,741513930
vector_insert,100000,erase,733550521,728467563,731780553,748020664,736789905,733430492,732093558,735917610,734679152,740723705
